Y,X,XX
0,-0.438405256,-1.088542438
0,-1.304123735,-0.025273809
0,-0.430753531,-0.394698516
0,1.009085722,-0.998490957
0,0.303627257,0.615334509
0,-0.491895847,-0.691202118
0,0.108030045,-0.314620766
0,-0.22269261,1.987772117
0,-0.519451577,-0.681147437
0,-0.627671057,-1.12970975
0,-1.686468705,1.976370755
0,-0.025104981,-1.170102626
0,-0.193599919,-0.180777006
0,-0.194783001,-0.248983834
0,0.343559945,-0.814125699
0,0.601959368,-0.399922809
0,-0.98403313,-0.079024459
0,-0.407415561,-0.994124679
0,-0.364290002,0.319968043
0,0.443928911,0.226403285
0,-0.453371116,-0.407892851
0,0.149196139,-0.69893233
0,0.302975097,-0.068701426
0,-1.969868487,0.25027644
0,0.822209791,0.844830135
0,-1.071360619,0.192161
0,0.307467369,-0.518201825
0,2.609569767,3.014117069
0,0.589388488,-0.635410523
0,-0.454168675,0.915781114
0,-0.970429962,0.1850305
0,-0.236322622,-0.65023174
0,-2.260999627,0.360969495
0,-1.021934205,-0.644778975
0,-0.469899988,0.765730748
0,1.785871617,-1.05019683
0,0.005609212,-0.727816054
0,0.092334157,-1.013397879
0,-0.522187865,-1.426545319
0,1.732899192,-1.631058781
0,-0.554779916,0.119541872
0,-0.108641275,-0.29571
0,0.016864248,-0.601397515
0,-1.268555166,0.137280396
0,-0.383880012,-0.208286115
0,0.617676503,0.478894182
0,0.114206664,-0.99021983
0,1.059728215,3.811274316
0,-0.172507582,-0.838344862
0,0.600010666,0.160926509
0,-0.749013999,0.189675738
0,-0.421409692,0.270446937
0,0.192392512,0.205984515
0,-0.189793273,-0.920525526
0,1.027125895,-0.517470018
0,0.34242916,1.392885633
0,0.155171669,0.601324582
0,2.751354913,3.443063879
0,-0.655556509,-0.516613674
0,-0.196625104,0.163190056
0,-0.161514781,0.024066812
0,0.005128985,-0.353166296
0,0.594571029,1.106664149
0,0.156581564,-0.58346052
0,0.366305902,-0.322658467
0,-0.140202424,2.470520826
0,0.387243438,-0.030381616
0,0.804751466,1.165501351
0,1.054485807,-0.440337635
0,-1.358110718,-0.136943694
0,-0.790004777,-0.431548625
0,-0.93012702,1.407877534
0,0.759982662,-1.481172903
0,-1.218393734,-1.547978485
0,-0.81535767,-0.863856547
0,-0.646230553,-1.027986417
0,0.090426157,-0.406865037
0,0.636427471,-0.455796708
0,0.317046871,0.801453202
0,1.147786232,-0.086534158
0,0.534175225,-0.138949774
0,-1.391175196,-0.101768023
0,-0.402555693,0.474908019
0,0.402290102,-0.141451962
0,-0.503006121,-0.704088585
0,2.737800401,3.293114329
0,-0.048529205,0.748807725
0,0.182650198,-0.484541136
0,0.937092114,-1.065110962
0,0.091519045,0.195377108
0,-0.148004058,0.055980723
0,-0.242920133,-1.099858709
0,-1.420886231,0.438476165
0,0.729122671,0.663500951
0,0.267594321,-0.951375413
0,-1.178603901,-0.930514021
0,-0.186089943,0.885565597
0,-0.936342944,-0.760366048
0,1.434509971,-0.68731266
0,-0.566141305,-0.830944299
0,-0.50893966,0.757607214
0,-0.067564928,-0.614475549
0,1.584355828,3.849896526
0,1.447894134,-0.767675509
0,0.137047987,-0.203980368
0,-0.157183324,-0.345405706
0,0.565824826,0.615339416
0,-0.592391692,-0.041593492
0,0.683582921,-0.194720003
0,0.489379331,-0.993792816
0,0.033065294,-1.043657481
0,-1.081624634,-0.983307404
0,1.173910353,0.257117549
0,-0.222511764,-0.197942681
0,0.539551233,0.430460613
0,-0.476462137,-0.117241343
0,0.01443357,-0.487551863
0,-0.832895167,-0.910753853
0,-0.343464987,-0.671658951
0,-0.550586426,0.971826768
0,1.35980513,-1.064822523
0,-0.105373135,-0.056836751
0,-0.085820323,-0.839204426
0,0.03251417,-0.960933237
0,0.221215518,-0.526324365
0,0.491638517,-0.059136415
0,-0.649628272,0.815711083
0,-0.30587548,0.491953937
0,1.556148236,0.036028434
0,-1.711965979,0.611857677
0,-2.451278862,0.486158951
0,-0.694531818,0.041879289
0,-0.595509891,1.0909697
0,-0.625404979,-0.449979152
0,-0.165149346,1.602098517
0,0.084985972,0.030469405
0,0.966386863,-0.901003797
0,0.00483098,-0.732323324
0,0.671651331,0.847779587
0,-0.327522378,-0.82258078
0,0.829644248,-1.683504947
0,-1.038890353,0.476782189
0,-0.448967486,-0.2885264
0,2.3663003,4.393731587
0,-0.494739457,1.819964773
0,-0.210131918,-0.954008503
0,-0.252045363,-0.392240185
0,-0.441559628,0.310186607
0,-2.807265554,0.726235624
0,-0.25835656,-0.519341605
0,-0.400076711,-0.677460759
0,-2.239256073,0.908178115
0,-0.210153545,0.513718707
0,-0.597859305,0.078162869
0,0.165763885,-1.146223548
0,0.396674889,-0.00284158
0,-0.317858924,-0.101054793
0,-0.428875629,-1.088456119
0,-1.708749932,0.274721304
0,0.180269368,1.329655549
0,-0.12438937,-0.524309439
0,1.904082607,0.683730584
0,0.186536255,-0.385942163
0,-1.784710458,-0.066668291
0,-0.296552602,1.122951676
0,0.517134282,-0.694213212
0,0.540420027,0.418318167
0,-1.448593822,0.558853954
